Nombre Empresa; Codigo Empresa; Año; Mes; Estado; Cierre; Carga; Fecha; Nombre del archivo; Fecha de descarga
MADALENA ENERGY ARGENTINA SRL ;GTIE;2012;Febrero;CERRADA;4557;1;20-03-2012 10:14;GTIE_2012_Febrero.xls;24 August 2017 12:28
MADALENA ENERGY ARGENTINA SRL ;GTIE;2012;Mayo;CERRADA;4771;1;19-06-2012 17:29;GTIE_2012_Mayo.xls;24 August 2017 12:28
MADALENA ENERGY ARGENTINA SRL ;GTIE;2012;Julio;CERRADA;4890;1;17-08-2012 10:59;GTIE_2012_Julio.xls;24 August 2017 12:29
MADALENA ENERGY ARGENTINA SRL ;GTIE;2012;Enero;CERRADA;4452;1;20-02-2012 19:13;GTIE_2012_Enero.xls;24 August 2017 12:28
MADALENA ENERGY ARGENTINA SRL ;GTIE;2012;Agosto;CERRADA;4954;1;18-09-2012 09:38;GTIE_2012_Agosto.xls;24 August 2017 12:29
MADALENA ENERGY ARGENTINA SRL ;GTIE;2012;Marzo;CERRADA;4597;3;06-09-2012 12:12;GTIE_2012_Marzo.xls;24 August 2017 12:28
MADALENA ENERGY ARGENTINA SRL ;GTIE;2012;Abril;CERRADA;4661;3;29-05-2012 09:53;GTIE_2012_Abril.xls;24 August 2017 12:28
