Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-aptos-torre-4/1572-C00003-03,,$1.280.000.000,4,5 o más,,
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-aptos-torre-4/1572-C00003-01,,$780.000.000,4,5 o más,,
