Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/torremolinos-casas-campestres/4212-C00009-01,,$1.040.000.000,3,5 o más,,
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-casas-3/1572-C00012-01,,$1.295.000.000,4,5 o más,,
,http://www.metrocuadrado.com/proyecto/camino-del-bosque/5449-C00003-01,,$3.900.000.000,4,5 o más,,
Casa en Venta; Bogotá D.C.; LA ALAMEDA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-antonio-nor-occidental-1-habitaciones-0-banos-1-garajes/VENT-04202901,,$350.000.000,1,,,1
Casa en Venta; Bogotá D.C.; CEDRITOS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-prado-veraniego-sur-3-habitaciones-5-banos-2-garajes/800-M1970200,,$450.000.000,3,5 o más,,2
Casa en Venta; Bogotá D.C.; LA FONTANA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-tibabuyes-1-habitaciones-0-banos-0-garajes/VENT-04203201,,$210.000.000,1,,,
Casa en Venta; Bogotá D.C.; CHICO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-chico-norte-iii-5-habitaciones-5-banos-4-garajes/4623-M1970102,,$1.800.000.000,5 o más,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; CHICO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-chico-norte-iii-5-habitaciones-5-banos-4-garajes/4623-M1970106,,$1.800.000.000,5 o más,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; MAZUREN,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-victoria-norte-3-habitaciones-2-banos-1-garajes/4623-M1970116,,$280.000.000,3,2,,1
Casa en Venta; Bogotá D.C.; SAN JOSE DE BAVARIA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-de-bavaria-5-habitaciones-5-banos-4-garajes/3636-M1970178,,$2.200.000.000,5 o más,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; MAZUREN,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-mazuren-3-habitaciones-2-banos-1-garajes/4623-M1970120,,$280.000.000,3,2,,1
Casa en Venta; Bogotá D.C.; Pontevedra,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-potosi-4-habitaciones-2-banos-4-garajes/2765-M1969975,,$980.000.000,4,2,,4 o más
Casa en Venta; Bogotá D.C.; SANTA BARBARA ALTA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-patricio-5-habitaciones-5-banos-2-garajes/800-M1970069,,$3.200.000.000,5 o más,5 o más,,2
Casa en Venta; Bogotá D.C.; SANTA Paula,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-molinos-norte-4-habitaciones-4-banos-3-garajes/MC25633787,,$1.800.000.000,4,4,,3
Casa en Venta; Bogotá D.C.; QUINTAPAREDES,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-quinta-paredes-3-habitaciones-3-banos-2-garajes/973-M1969607,,$550.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; TORCA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-torca-5-habitaciones-5-banos-0-garajes/2415-51226,,$8.490.000.000,5 o más,5 o más,,
Casa en Venta; Bogotá D.C.; EL CONTADOR,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-el-contador-3-habitaciones-3-banos-2-garajes/2415-51364,,$529.000.000,3,3,,2
Casa en Venta; Bogotá D.C.; arrayanes-suba la lomita,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-casa-blanca-4-habitaciones-5-banos-4-garajes/2415-51356,,$1.850.000.000,4,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; COLINA NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-portales-del-norte-3-habitaciones-3-banos-1-garajes/2415-51168,,$250.000.000,3,3,,1
Casa en Venta; Bogotá D.C.; SANTA ANA ORIENTAL,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-santa-ana-oriental-4-habitaciones-5-banos-3-garajes/2415-51292,,$5.100.000.000,4,5 o más,,3
Casa en Venta; Bogotá D.C.; SOTILEZA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-naranjos-3-habitaciones-4-banos-3-garajes/2415-51186,,$1.099.000.000,3,4,,3
