Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/conjunto-cerrado-portal-de-nueva-andrea-carolina/1857-C00006-01,,$215.000.000,3,3,,
,http://www.metrocuadrado.com/proyecto/conjunto-residencial-villa-mary/2400-C00001-06,,$188.000.000,3,2,,
,http://www.metrocuadrado.com/proyecto/conjunto-residencial-villa-mary/2400-C00001-05,,$188.000.000,3,2,,
Casa en Venta; Cota (Incluye Siberia); CONJUNTO CINDERELLA,http://www.metrocuadrado.com/inmueble/venta-casa-cota-incluye-siberia-3-habitaciones-4-banos-0-garajes/3422-948-1,,$1.500.000.000,3,4,,
Casa en Venta; Chía; Chia,http://www.metrocuadrado.com/inmueble/venta-casa-chia-3-habitaciones-2-banos-1-garajes/3643-2295,,$315.000.000,3,2,,1
