Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
Casa en Venta Otros municipios la fuente cuarta etapa,www.fincaraiz.com.co/casa-en-venta/otros-municipios/fuente_cuarta_etapa-det-3141399.aspx,/Arauca/Otros Municipios/La Fuente Cuarta Etapa,$ 100.000.000,3,2,,
Casa en Venta Otros municipios barrio 20 julio,www.fincaraiz.com.co/casa-en-venta/otros-municipios/barrio_julio-det-3134027.aspx,/Arauca/Otros Municipios/Barrio 20 Julio,$ 110.000.000,3,1,,
