Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/horizontes-reservado-lotes/4994-C00001-06,,$518.760.000,,,,
,http://www.metrocuadrado.com/proyecto/horizontes-reservado-lotes/4994-C00001-05,,$442.200.000,,,,
,http://www.metrocuadrado.com/proyecto/horizontes-reservado-lotes/4994-C00001-01,,$428.560.000,,,,
Lote o Casalote en Venta; Cota (Incluye Siberia); Zona Franca,http://www.metrocuadrado.com/inmueble/venta-lote o casalote-cota-incluye-siberia/3643-2296,,$600.000.000,,,,
Lote o Casalote en Venta; Medellín; EL POBLADO,http://www.metrocuadrado.com/inmueble/venta-lote o casalote-medellin-las-lomas-no.-1/3422-700-33,,$495.500.000,,,,
Lote o Casalote en Venta; Medellín; EL POBLADO,http://www.metrocuadrado.com/inmueble/venta-lote o casalote-medellin-las-lomas-no.-1/3422-659-49,,$570.500.000,,,,
Lote o Casalote en Venta; Chía; VEREDA CERCA DE PIEDRA,http://www.metrocuadrado.com/inmueble/venta-lote o casalote-chia/2-4511,,$1.280.000.000,,,,
