Sku-Estilo;Categoria;Url;Nombre;Fotos;Tallas;Notas;Colores;Ficha Tecnica
"B0300";"Bebés";"https://www.yazbek.com.mx/item/playera-para-bebe.html?id=4693";"Playera Peso Completo Cuello Redondo Manga Corta Unisex Para Bebé.";"https://www.yazbek.com.mx/files/selector/b0300.swf";"M";"Peso*: 200 g/m2 *Peso en color oscuro Tejido: Chifón 100% algodón.";"Azul Claro, Blanco, Canario, Naranja, Celeste, Rosa Pastel, Lima, Fiusha, Turquesa, Marino, Rojo, Arena";"Link Ficha Tecnica";
"C0314";"Unisex";"https://www.yazbek.com.mx/item/c0314.html?id=4763";"Playera Manga Larga Con Capucha y Cangurera Unisex Para Adulto.";"https://www.yazbek.com.mx/files/selector/c0314.swf";"CH, M, G, EG";"Peso*: 170 g/m2 Tejido: Chifón 100% algodón.";"Negro, Carbon, Marino";"Link Ficha Tecnica";
"C0324";"Unisex";"https://www.yazbek.com.mx/item/c0324.html?id=4763";"Playera Manga Larga Con Capucha, Cangurera y Cierre Unisex Para Adulto.";"https://www.yazbek.com.mx/files/selector/c0324.swf";"CH, M, G, EG";"Peso*: 170 g/m2 Tejido: Chifón 100% algodón.";"Negro, Carbon, Marino";"Link Ficha Tecnica";
"C0700";"Sudaderas";"https://www.yazbek.com.mx/item/sudadera-cuello-redondo.html?id=4709";"Sudadera Cuello Redondo Unisex Para Adulto.";"https://www.yazbek.com.mx/files/selector/c0700.swf";"CH, M, G, EG";"Peso*: 285 g/m2 *Peso en color oscuro Tejido: Felpa 50% algodón 50% poliéster.";"Negro, Blanco, Jade Oscuro, Royal, Marino, Rojo";"Link Ficha Tecnica";
"C0701";"Sudaderas";"https://www.yazbek.com.mx/item/sudadera-capucha-cangurera.html?id=4709";"Sudadera Con Capucha y Cangurera Unisex Para Adulto.";"https://www.yazbek.com.mx/files/selector/c0701.swf";"CH, M, G, EG";"Peso*: 285 g/m2 *Peso en color oscuro Tejido: Felpa 50% algodón 50% poliéster.";"Negro, Blanco, Jade Oscuro, Royal, Marino, Rojo";"Link Ficha Tecnica";
"C0702";"Sudaderas";"https://www.yazbek.com.mx/item/sudadera-capucha-cierre.html?id=4709";"Sudadera Con Capucha, Cangurera y Cierre Unisex Para Adulto.";"https://www.yazbek.com.mx/files/selector/c0702.swf";"CH, M, G, EG";"Peso*: 285 g/m2 *Peso en color oscuro Tejido: Felpa 50% algodón 50% poliéster.";"Negro, Blanco, Jade Oscuro, Royal, Marino, Rojo";"Link Ficha Tecnica";
"J0700";"Sudaderas";"https://www.yazbek.com.mx/item/sudadera-juvenil-cuello-redondo.html?id=4709";"Sudadera Cuello Redondo Unisex Para Joven.";"https://www.yazbek.com.mx/files/selector/j0700.swf";"CH, M, G, EG";"Peso*: 285 g/m2 *Peso en color oscuro Tejido: Felpa 50% algodón 50% poliéster.";"Negro, Blanco, Jade Oscuro, Royal, Marino, Rojo";"Link Ficha Tecnica";
"J0701";"Sudaderas";"https://www.yazbek.com.mx/item/sudadera-juvenil-capucha-cangurera.html?id=4709";"Sudadera Con Capucha y Cangurera Unisex Para Joven.";"https://www.yazbek.com.mx/files/selector/j0701.swf";"CH, M, G, EG";"Peso*: 285 g/m2 *Peso en color oscuro Tejido: Felpa 50% algodón 50% poliéster.";"Negro, Blanco, Jade Oscuro, Royal, Marino, Rojo";"Link Ficha Tecnica";
"J0702";"Sudaderas";"https://www.yazbek.com.mx/item/sudadera-juvenil-capucha-cierre.html?id=4709";"Sudadera Con Capucha, Cangurera y Cierre Unisex Para Joven.";"https://www.yazbek.com.mx/files/selector/j0702.swf";"CH, M, G, EG";"Peso*: 285 g/m2 *Peso en color oscuro Tejido: Felpa 50% algodón 50% poliéster.";"Negro, Blanco, Jade Oscuro, Royal, Marino, Rojo";"Link Ficha Tecnica";
"C0600";"Uniformes";"https://www.yazbek.com.mx/item/camisas-de-mezclilla.html?id=4580";"Camisa de Mezclilla Manga Corta Para Caballero.";"https://www.yazbek.com.mx/files/selector/c0600.swf";"CH, M, G, EG";"Peso: 258 gr/m 2 Tejido: Mezclilla 100% algodón.";"Indigo Claro";"Link Ficha Tecnica";
