Id,Titulo_P,Subtitulo_P,Descripcion,Valor,Marca,Categoria,Subcategoria,Sub_sub_categoria,URL_Redireccion,URL_Imagen_Principal,URL_Imagen_2,URL_Imagen_3,URL_Imagen_4,URL_Imagen_5,Tienda, Stock
"13747","Sillón Frisia Ecocuero Crudo"," confeccionado en Ecocuero y estructura de madera."," otorgando mayor confort y comodidad.","00","Poliflex","","","","http://www.carrefour.com.ar/muebles/living-comedor/sillones/sillon-frisia-2-cuerpos-eco-crudo-d.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/r/frisia_beige_vista00.jpg","","","","","Carrefour",""
"13746","Sillón Naples Ecocuero Chocolate"," confeccionado en Ecocuero y estructura de madera."," otorgando mayor confort y comodidad.","00","Poliflex","","","","http://www.carrefour.com.ar/muebles/living-comedor/sillones/sillon-naples-2-cuerpos-eco-choco-d.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/a/naples_chocolate_vista00.jpg","","","","","Carrefour",""
"13744","Sillón Kahlo Ecocuero Chocolate"," confeccionado en Ecocuero y estructura de madera."," otorgando mayor confort y comodidad.","00","Poliflex","","","","http://www.carrefour.com.ar/muebles/living-comedor/sillones/sillon-kahlo-2-cuerpos-eco-choco-d.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/a/kahlo_chocolate_vista00.jpg","","","","","Carrefour",""
"15065","Tiro al Blanco Dragon-i Wild West","Multicolor / Edad Recomendada: Más de 3 años","Podes tirar al blanco con una distancia de hasta 6 metros. Incluye 4 productos y un soporte de plástico que mantiene los objetos parados.. Color: Multicolor / Edad Recomendada: Más de 3 años","00","","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/set-disfras-de-piratas-8-piezas.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614611195856-1.jpg","","","","","Carrefour",""
"15064","Estación de Policia Majorette mas un Autito","Azul / Edad Recomendada: Más de 3 años","En el cuartel de la policía Creatix de Majorette siempre hay movimiento! El set de juguete está compuesto por dos plantas: Prisión y garage. Helipuerto y dos rampas de salida. Carreteras y accesorios. Se puede ampliar con otros sets Creatix.  Este juguete realizado en plástico de gran calidad y está equipado con gran cantidad de accesorios. Estación azul con rampa blanca.. Color: Azul / Edad Recomendada: Más de 3 años","00","Majorette","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/majorette-estacion-de-policia-1-autito.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614611186786-2.jpg","","","","","Carrefour",""
"15063","Pista de Carreras Majorette Racing Pitstop","Multicolor / Edad Recomendada: Más de 3 años"," plataforma elevadora y rampa de salida. Carretera y accesorios. Se puede ampliar con otros sets Creatix. Estación amarilla rampa gris.. Color: Multicolor / Edad Recomendada: Más de 3 años","00","Majorette","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/majorette-racing-pitstop-1-autito.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614611186779-2.jpg","","","","","Carrefour",""
"14383","Reposera Sillón Fija de Jardín Solcito con Apoyabrazos Amarillo"," tela plástica recubierta con PVC."," permitiendo su reutilización. Para prolongar la vida útil de la reposera nunca deberá ser guardada húmeda y para el caso de estar expuesta a aguas salitrosas enjuagar con agua dulce.","00","","","","","http://www.carrefour.com.ar/jardin/muebles/bancos-reposeras/sillon-fijo-c-apoyabrazos-metal-solwind-1.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798042573325-2.jpg","","","","","Carrefour",""
"15062","Pista de Autos Majorette Estación de Servicio","Verde / Edad Recomendada: Más de 3 años / Más de 55 piezas"," gasolinera. Plataforma elevadora y ascensor manual. Carreteras y accesorios. Se puede ampliar con otros sets Creatix. Estación verde con rampas grises.","00","Majorette","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/majorette-estacion-de-servicio-1-autit.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614611186762-2.jpg","","","","","Carrefour",""
"14382","Reposera Sillón Fija de Jardín Solcito con Apoyabrazos Azul"," tela plástica recubierta con PVC."," permitiendo su reutilización. Para prolongar la vida útil de la reposera nunca deberá ser guardada húmeda y para el caso de estar expuesta a aguas salitrosas enjuagar con agua dulce.","00","","","","","http://www.carrefour.com.ar/jardin/muebles/bancos-reposeras/sillon-fijo-c-apoyabrazos-metal-solwind.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798042571321-2.jpg","","","","","Carrefour",""
"15061","Teclado Electrónico Winfun Beat Bop","Edad recomendada: + de 3 años. Incluye 3 pilas AA (sólo para función de demostración)"," baile y se divierta junto a las canciones y diferentes efectos de sonido.","00","Winfun","Informática","Accesorios","Teclados","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/teclado-electronico-winfun-beat-bop.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614611184430-1.jpg","","","","","Carrefour",""
"13343","Bolso Printing Tela Negro/Rosa"," Medidas 36*71*33 cm"," gruesa y duradera de alta calidad. El denier es una unidad de medida usada para cuantificar el espesor del hilo.","00","Carrefour","","","","http://www.carrefour.com.ar/bolsos-y-valijas/bolsos/bolso-con-ruedas-printing-71cm-negro-con.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614610016114_a.jpg","","","","","Carrefour",""
"13342","Bolso Printing Tela Negro/Celeste","Estructura confeccionada en metal y plástico e interior forrado en poliester. Posee 2 ruedas. Medidas 36*71* cm"," gruesa y duradera de alta calidad. El denier es una unidad de medida usada para cuantificar el espesor del hilo.","00","Carrefour","","","","http://www.carrefour.com.ar/bolsos-y-valijas/bolsos/bolso-con-ruedas-printing-71cm-negro-con-1.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614610016091_a_1.jpg","","","","","Carrefour",""
"8788","Depiladora Philips Satinelle Soft H","Depiladora Philips HP6423/30","Tipo de Depiladora: Pinzas Rotatorias. Velocidades: 1. Cabezal/les: Adaptador Axilas y Cavado. Cabezal Lavable. Voltaje Universal","00","Philips","Cuidado Personal y Salud","Cuidado de la Mujer","Depiladoras","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-de-la-mujer/depiladoras/depiladora-philips-satinelle-soft-mod-h.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103666653.jpg","","","","","Carrefour",""
"13341","Bolso Classic Tela Rojo"," Medidas 32*55*28 cm"," gruesa y duradera de alta calidad. El denier es una unidad de medida usada para cuantificar el espesor del hilo.","00","Carrefour","","","","http://www.carrefour.com.ar/bolsos-y-valijas/bolsos/bolso-classic-55cm-negro-rojo.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3613865360959_b.jpg","","","","","Carrefour",""
"14819","Joystick Inalambrico Sorma Boca PS2 PS3 y PC GPAD-BOCA01"," PS3 y PC - Inalambrico - Cable de Carga de 80 Cm"," Sony Playstation 2 y PC. Tiene un grip de goma para mayor comodidad. Incluye un cable de carga de 80 Centimetros.","00","Sorma","","","","http://www.carrefour.com.ar/consolas-y-video-juegos/accesorios-3/joysticks/joystick-ps3-ps2-pc-sorma-lic-inalambric.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/o/joy_0015_742832720694.jpg","","","","","Carrefour",""
"11588","Juego de Jardín Praga 5 Piezas Teka","Mesa y 4 sillones. Incluye almohadones."," y posee baja absorción de humedad y gran resistencia al impacto. Para mantener nuestros Muebles de Jardín es conveniente no utilizar lavadoras a presión para la limpieza. Secarlos con un paño luego de las lluvias. No exponerlos innecesariamente a los rayos ultravioletas. Guardarlos en el invierno. Solo necesita una mano de aceite para teka cada 6 meses.","00","","","","","http://www.carrefour.com.ar/jardin/muebles/juegos-de-jardin/set-teka-mesa-rectangular-y-4-sillas.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/7/5705820287772-5.jpg","","","","","Carrefour",""
"14818","Joystick Inalambrico Sorma River PS2 PS3 y PC GPAD-RIVER01"," PS3 y PC - Inalambrico - Cable de Carga de 80 Cm"," Sony Playstation 2 y PC. Tiene un grip de goma para mayor comodidad. Incluye un cable de carga de 80 Centimetros.","00","Sorma","","","","http://www.carrefour.com.ar/consolas-y-video-juegos/accesorios-3/joysticks/joystick-ps3-ps2-pc-sorma-inalambrico.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/o/joy_0000_742832720687.jpg","","","","","Carrefour",""
"15058","Pizarra 2 en 1 Grow'n Up"," rojo y amarillo."," ideales para guardar los elementos de dibujo. Fácil limpieza. Plegable.","00","Grow'n Up","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juegos-de-aprendizaje/pizarra-2-en-1-grow-n-up.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3613866467916-2.jpg","","","","","Carrefour",""
"15057","Banco Grow'n Up Up 2 en 1","Multicolor / Edad Recomendada: 3 a 5 años"," el asiento cuenta con una capacidad para dos niños. Este producto es ideal tanto para interiores como exteriores. Soporta hasa 45 kg. Capacidad de 2 niños.. Color: Multicolor / Edad Recomendada: 3 a 5 años","00","Grow'n Up","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juegos-de-aprendizaje/pupitre-y-banco-2-en-1.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3610883031137-6.jpg","","","","","Carrefour",""
"15056","Mi Primer Escritorio para Dibujo Grow'n Up"," clip de papel grande y espacio para almacenamiento."," números y letras magnéticas","00","Grow'n Up","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juegos-de-aprendizaje/mi-primer-escritorio-para-dibujo-grow-n-up.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3610883031076-2.jpg","","","","","Carrefour",""
"15055","Computadora Infantil Winfun Pro Avanzado","Computadora Infantil Winfun Pro Avanzado con teclado Qwerty. Edad recomendada: Más de 4 años."," música y juegos. Teclado Qwerty","00","Winfun","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juegos-de-aprendizaje/computadora-infantil-laptop-espanos-60-j.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3610883023842-2.jpg","","","","","Carrefour",""
"13337","Bolso Classic Con Ruedas Tela Rojo","Estructura confeccionada en metal y plastico e interior forrado en poliester. Posee 2 ruedas. Medidas 37*73*34 cm"," gruesa y duradera de alta calidad. El denier es una unidad de medida usada para cuantificar el espesor del hilo.","00","Carrefour","","","","http://www.carrefour.com.ar/bolsos-y-valijas/bolsos/bolso-con-ruedas-classic-73cm-rojo.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3613865360874_a_1.jpg","","","","","Carrefour",""
"15054","Batería Musical Winfun","Negro / Edad Recomendada: Más de 5 años"," 6 selecciones de ritmo y la función Stop.","00","Winfun","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/winfun-bateria-musical.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3609232961539-3_1.jpg","","","","","Carrefour",""
"15053","Organo Musical Winfun","Rojo y Blanco / Edad Recomendada: Más de 3 años"," 8 luces led.. Color: Rojo y Blanco / Edad Recomendada: Más de 3 años","00","Winfun","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/winfun-organo-musical.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3609232961522-1.jpg","","","","","Carrefour",""
"15052","Muñeca Bebé con Sillita Aimantine","Rosa / Edad Recomendada: Más de 3 años"," 1 taza de entrenamiento y una sillita alta para comer.","00","Aimantine","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-as/aimantine-bebe-35cm-con-sillita.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3609232912845-1.jpg","","","","","Carrefour",""
"13333","Bolso Destination Tela Rojo"," con manijas de mano y correa de hombro. Medidas 28*55*32 cm"," gruesa y duradera de alta calidad. El denier es una unidad de medida usada para cuantificar el espesor del hilo.","00","Carrefour","","","","http://www.carrefour.com.ar/bolsos-y-valijas/bolsos/bolso-destination-55cm-rojo.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3613865340753_a.jpg","","","","","Carrefour",""
"14010","Tablet AVH Action Kids 7''","Pantalla 7'' / Resolución 1024 x 600  / Procesador: Quad Core / Memoria Ram: 1GB / Incluye dos fundas intercambiables."," dándole más durabilidad.","00","AVH","Informática","Tablets","Tablets","http://www.carrefour.com.ar/informatica/tablet/tablet-1/tablet-avh-action-kids-7.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7796356909144-2.jpg","","","","","Carrefour",""
"11576","Calefón a Gas Rheem 14 Litros Blanco"," pues no poseen el clásico diafragma sino que operan íntegramente por una válvula de flujo ''flowswitch''.","Se apaga automáticamente si detecta un aumento excesivo de temperatura de salida del agua caliente.","00","Rheem","","","","http://www.carrefour.com.ar/electrohogar-1/calefones/calefones-a-gas/calefon-rheem-14lts-s-llama-piloto.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7796999010351.jpg","","","","","Carrefour",""
"11575","Calefón a Gas Saiar 14 Litros Blanco","Menor consumo de gas.","- Se apaga automáticamente si detecta un aumento excesivo de temperatura de salida del agua caliente.","00","Saiar","","","","http://www.carrefour.com.ar/electrohogar-1/calefones/calefones-a-gas/calefon-saiar-14lts-s-llama-piloto.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7796999010337.jpg","","","","","Carrefour",""
"10138","Campana Convexa Frankee Spar Inoxiable 60 cm","Un motor. Tres velocidades. Luz  incorporada. Filtro antigrasa : metálico autoportante. Ancho cm: 60-90. Turbinas: 2.","Un motor. Tres velocidades. Luz  incorporada. Filtro antigrasa : metálico autoportante. Ancho cm: 60-90. Turbinas: 2.","00","Spar","Electrohogar","Cocinas y Purificadores","Campanas","http://www.carrefour.com.ar/electrohogar-1/cocinas-y-purificadores/campanas/campana-franke-spar-convexa-60-cm-inox.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7790672002527.jpg","","","","","Carrefour",""
"10099","Cava Conservadora de Vinos Wine Collection 28 botellas","CONSERVADORA DE VINOS WINE COLLECTION 28"," display digital.","00","Wine Collection","Electrohogar","Heladeras y Freezers","Cavas","http://www.carrefour.com.ar/electrohogar-1/heladeras-freezers/cavas/conservadora-de-vinos-wine-collection-28.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798105021534.jpg","","","","","Carrefour",""
"5214","Cartucho Negro HP 21"," F218.","Cartuchos de tinta HP 21: imprima documentos pulidos de aspecto profesionales con texto negro de calidad láser. Los cartuchos de tinta HP se han diseñado para utilizarse con impresoras HP para obtener los mejores resultados.","00","HP","","","","http://www.carrefour.com.ar/informatica/impresoras-tintas/tintas/cartucho-negro-hp-21.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/2/829160902210.jpg","","","","","Carrefour",""
"15040","Auto con Radio Control  Maisto Tech Rock Crawler","Gris y Verde / Edad Recomendada: más de 8 años","El auto funciona con 6 pilas AA y 2 AAA. El control con batería 9V (no incluye). Transmisori 27mHz de tres canales. Permite que tres personas jueguen simultáneamente. Neumáticos grandes todo terreno con frente funcional y suspensión trasera. . Color: Gris y Verde / Edad Recomendada: más de 8 años","00","Maisto Tech","","","","http://www.carrefour.com.ar/tiempo-libre-y-deportes/juegos-y-juguetes/juguetes-para-ni-os/maisto-r-c-rock-crawler-27-mhz.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/0/90159811527-2.jpg","","","","","Carrefour",""
