codigoSKU;sitio;nombre;descripcion;tipo;categoria;material;precio;color;imagen1;imagen2;imagen3;imagen4;imagen5;imagen6;imagen7;imagen8;imagen9;imagen10
"7848-3";"https://www.jennyfer.com.mx//Detalle/bronce-bolsa-sku-7848-3";"Bronce Bolsa";"Bronce Bolsa - Medidas: 25 x 13 cm";"Bolsa";"Jennyfer";"Sintetico";"$  360.00";"Bronce";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/bronce-bolsa-7848-3-1-2016090805315905.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/bronce-bolsa-7848-3-2-2016090805315933.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/bronce-bolsa-7848-3-3-2016090805315936.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/bronce-bolsa-7848-3-4-2016090805315940.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/bronce-bolsa-7848-3-5-2016090805315946.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/bronce-bolsa-7848-3-6-2016090805315947.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/7848-3m-27452.jpg,,,";
"8218-3";"https://www.jennyfer.com.mx//Detalle/blanco-bolsa-sku-8218-3";"Blanco Bolsa";"Blanco Bolsa - Medidas: 33 x 29 cm";"Bolsa";"Jennyfer";"Sintético";"$ 945.00";"Blanco";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/8218-3a-32554.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8218-3b-32555.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8218-3c-32556.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8218-3d-32557.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8218-3e-32558.jpg,,,,,";
"7844-1";"https://www.jennyfer.com.mx//Detalle/negro-bolsa-sku-7844-1";"Negro Bolsa";"Negro Bolsa - Medidas: 32 x 25 cm";"Bolsa";"Jennyfer";"Sintetico";"$ 480.00";"Negro";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-7844-1-1-2016090805293543.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-7844-1-2-2016090805293548.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-7844-1-3-2016090805293556.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-7844-1-4-2016090805293564.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-7844-1-5-2016090805293567.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-7844-1-6-2016090805293570.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/7844-1m-27347.jpg,,,";
"8473-1";"https://www.jennyfer.com.mx//Detalle/negro-bolsa-sku-8473-1";"Negro Bolsa";"Negro Bolsa - Medidas: 19 x 14 cm";"Bolsa";"Jennyfer";"Sintético";"$ 330.00";"Negro";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8473-1-1-2017091904400347.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8473-1-2-2017091904400350.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8473-1-3-2017091904400355.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8473-1-4-2017091904400357.jpg,,,,,,";
"8051-1";"https://www.jennyfer.com.mx//Detalle/negro-bolsa-sku-8051-1";"Negro Bolsa";"Negro Bolsa - Medidas: 28 x 28 cm";"Bolsa";"Jennyfer";"Sintetico";"$ 510.00";"Negro";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8051-1-1-2017021705325590.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8051-1-2-2017021705325591.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8051-1-3-2017021705325595.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8051-1-4-2017021705325596.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8051-1-5-2017021705325599.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8051-1-29643.jpg,,,,";
"8225-2";"https://www.jennyfer.com.mx//Detalle/negro-beige-bolsa-sku-8225-2";"Negro/Beige Bolsa";"Negro/Beige Bolsa - Medidas: 33 x 26 cm";"Bolsa";"Jennyfer";"Sintético";"$ 990.00";"Negro Con Beige";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-beige-bolsa-8225-2-1-2017091106192017.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-beige-bolsa-8225-2-2-2017091106192030.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-beige-bolsa-8225-2-3-2017091106192038.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-beige-bolsa-8225-2-4-2017091106192058.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-beige-bolsa-8225-2-5-2017091106192064.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-beige-bolsa-8225-2-6-2017091106192069.jpg,,,,";
"8436-2";"https://www.jennyfer.com.mx//Detalle/beige-bolsa-sku-8436-2";"Beige Bolsa";"Beige Bolsa - Medidas: 27 x 24 cm";"Bolsa";"Jennyfer";"Sintético";"$ 420.00";"Beige";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/beige-bolsa-8436-2-1-2017091106372998.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/beige-bolsa-8436-2-2-2017091106373007.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/beige-bolsa-8436-2-3-2017091106373010.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/beige-bolsa-8436-2-4-2017091106373013.jpg,,,,,,";
"8121-1";"https://www.jennyfer.com.mx//Detalle/negro-bolsa-sku-8121-1";"Negro Bolsa";"Negro Bolsa - Medidas: 27 x 25 cm";"Bolsa";"Jennyfer";"Sintetico";"$ 420.00";"Negro";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/8121-1a-29507.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8121-1b-29508.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8121-1c-29509.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8121-1d-29510.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8121-1e-29511.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/8121-1-29713.jpg,,,,";
"8392-1";"https://www.jennyfer.com.mx//Detalle/negro-bolsa-sku-8392-1";"Negro Bolsa";"Negro Bolsa - Medidas: 20 x 20 cm";"Bolsa";"Jennyfer";"Sintético";"$ 390.00";"Negro";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8392-1-1-2017091106345263.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8392-1-2-2017091106345266.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8392-1-3-2017091106345271.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8392-1-4-2017091106345276.jpg,,,,,,";
"8463-1";"https://www.jennyfer.com.mx//Detalle/negro-bolsa-sku-8463-1";"Negro Bolsa";"Negro Bolsa - Medidas: 20 x 12 cm";"Bolsa";"Jennyfer";"Sintético";"$ 360.00";"Negro";"https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8463-1-1-2017091904400275.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8463-1-2-2017091904400277.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8463-1-3-2017091904400283.jpg,https://bolsasjennyfer.blob.core.windows.net/imagenes250/negro-bolsa-8463-1-4-2017091904400284.jpg,,,,,,";
