Date,Open,High,Low,Close,Adj Close,Volume
2017-10-13 13:30:00,199.6999969482422,200.82000732421875,197.19000244140625,199.49000549316406,199.49000549316406,12030000
2017-10-12 13:30:00,196.75,198.6199951171875,194.7100067138672,195.86000061035156,195.86000061035156,7753300
2017-10-11 13:30:00,195.57000732421875,196.22000122070312,193.80999755859375,194.9499969482422,194.9499969482422,6450200
2017-10-10 13:30:00,197.85000610351562,198.3000030517578,192.10000610351562,195.0800018310547,195.0800018310547,6233800
2017-10-09 13:30:00,199.10000610351562,199.39999389648438,196.55999755859375,196.8699951171875,196.8699951171875,6971700
2017-10-06 13:30:00,194.3000030517578,198.9199981689453,192.0500030517578,198.02000427246094,198.02000427246094,15348400
2017-10-05 13:30:00,185.64999389648438,194.49000549316406,184.49000549316406,194.38999938964844,194.38999938964844,19412700
2017-10-04 13:30:00,181.41000366210938,186.6999969482422,181.25,184.4499969482422,184.4499969482422,9235900
2017-10-03 13:30:00,177.64999389648438,179.6999969482422,177.5500030517578,179.19000244140625,179.19000244140625,3956900
2017-10-02 13:30:00,182.11000061035156,182.8000030517578,176.5800018310547,177.00999450683594,177.00999450683594,7342000
2017-09-29 13:30:00,180.72999572753906,182.89999389648438,180.64999389648438,181.35000610351562,181.35000610351562,4227900
2017-09-28 13:30:00,181.25,181.9499969482422,179.36000061035156,180.6999969482422,180.6999969482422,4077000
2017-09-27 13:30:00,181.00999450683594,183.33999633789062,180.6999969482422,181.97000122070312,181.97000122070312,5710500
2017-09-26 13:30:00,180.6999969482422,180.9499969482422,176.5500030517578,179.3800048828125,179.3800048828125,5602500
2017-09-25 13:30:00,186.4600067138672,186.5500030517578,177.6999969482422,178.5500030517578,178.5500030517578,9367200
2017-09-22 13:30:00,188.39999389648438,189.85000610351562,186.38999938964844,187.35000610351562,187.35000610351562,5464300
2017-09-21 13:30:00,185.82000732421875,189.9499969482422,184.50999450683594,188.77999877929688,188.77999877929688,7148100
2017-09-20 13:30:00,186.10000610351562,186.5,183.1999969482422,185.50999450683594,185.50999450683594,4625000
2017-09-19 13:30:00,184.97999572753906,186.22999572753906,184.1699981689453,185.67999267578125,185.67999267578125,4982100
2017-09-18 13:30:00,183.61000061035156,185.4499969482422,182.72999572753906,184.6199951171875,184.6199951171875,5359600
2017-09-15 13:30:00,182.72999572753906,184.92999267578125,181.42999267578125,182.35000610351562,182.35000610351562,5591700
2017-09-14 13:30:00,183.25,185.2899932861328,182.07000732421875,182.6300048828125,182.6300048828125,4510700
2017-09-13 13:30:00,184.07000732421875,184.5,182.5500030517578,183.63999938964844,183.63999938964844,4320300
2017-09-12 13:30:00,182.5500030517578,185.3300018310547,180.63999938964844,185.14999389648438,185.14999389648438,6689600
2017-09-11 13:30:00,178.10000610351562,182.47000122070312,178.02999877929688,181.74000549316406,181.74000549316406,5979400
2017-09-08 13:30:00,178.4499969482422,180.38999938964844,176.25,176.4199981689453,176.4199981689453,4590800
2017-09-07 13:30:00,178.8000030517578,180.35000610351562,177.10000610351562,179,179,6036100
2017-09-06 13:30:00,175.25,179.4600067138672,173.72999572753906,179.25,179.25,8742600
