"CODIGO","NOMBRE","PRECIO","IMAGEN","CATEGORIA"
"2719","Fluffies","$77.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/531/2719_F13.jpg","intima\fluffies"
"2721","Pantufla Tin","$77.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1474/2721_f17.jpg","intima\fluffies"
"0432","Capri Microfibra Térmica","$195.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/38/0432_oi17.jpg","termico\capris-y-leggings"
"0416","Hivernal Pantimedia","$167.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/17/0416_oi17_3.jpg","termico\capris-y-leggings"
"0433","Leggings","$77.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/43/0433_72.jpg","termico\capris-y-leggings"
"0471","Capri Microfibra Térmica Niños","$181.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/68/0471_02_2.jpg","termico\capris-y-leggings"
"0472","Malla Lisa","$181.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/75/0472_oi17.jpg","termico\capris-y-leggings"
"14357","Sweet Leggings","$119.40","https://chemisette-web.s3.amazonaws.com/uploads/color/image/652/14357_80.jpg","termico\capris-y-leggings"
"14358","Flower Pink Leggings","$181.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/682/14358_104.jpg","termico\capris-y-leggings"
"16518","Madrid Top","$314.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/194/16518.jpg","moda\otras-colecciones"
"16495","Gardenia Top","$270.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/185/16495_800.jpg","moda\otras-colecciones"
"12414","Lady Top","$246.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/155/12414_K80.jpg","moda\otras-colecciones"
"16477","Top Adda","$210.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1101/16477.jpg","moda\otras-colecciones"
"LT1030","Óleo Desmaquillante Facial","$174.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1056/LT1030_DesmaquillanteOleo.jpg","cuidado-de-la-piel\cuidado-personal"
"LT1031","Tónico Facial","$139.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1055/LT1031_T_NICOFACIAL.jpg","cuidado-de-la-piel\cuidado-personal"
"LP6002","Avena y Cacao Spa Suavizante","$90.00","https://chemisette-web.s3.amazonaws.com/uploads/color/image/375/LP6002_01.jpg","cuidado-de-la-piel\cuidado-personal"
"0891","Película Osmótica Yodada mediana para Brazos y Piernas","$136.50","https://chemisette-web.s3.amazonaws.com/uploads/color/image/312/0891_01.jpg","cuidado-de-la-piel\cuidado-personal"
"LPB70","¡NUEVO AROMA A COCO! Bloquedor Solar Corporal SPF 70","$174.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/420/nuevoaromacoco.jpg","cuidado-de-la-piel\cuidado-personal"
"LPB60","Bloqueador Solar Facial SPF 70","$139.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/418/LPB60.jpg","cuidado-de-la-piel\cuidado-personal"
"LP6010","Color de Bronce Maquillaje para Piernas","$111.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/391/P_LP6010_01.jpg","cuidado-de-la-piel\cuidado-personal"
"LP5014","Pedicure Express Spray removedor de callos","$97.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/364/LP5014_1.jpg","cuidado-de-la-piel\cuidado-personal"
"P0827","SOY Sistema Osmótico Yodado con Faja para Cintura y Abdomen","$538.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1304/PO827_2.jpg","cuidado-de-la-piel\cuidado-personal"
"R200","Gel Lifting Thermo-Activador","$136.50","https://chemisette-web.s3.amazonaws.com/uploads/color/image/504/R200.jpg","cuidado-de-la-piel\cuidado-personal"
"LS4019","Essential Olbas","$384.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/852/LS4019_1.jpg","aromaterapia\aceites-esenciales"
"LB1000","Aceite Esencial de Eucalipto","$209.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1237/LB1000.jpg","aromaterapia\aceites-esenciales"
"LB1001","Aceite Esencial de Lavanda","$279.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1238/LB1001.jpg","aromaterapia\aceites-esenciales"
"LB1002","Aceite Esencial de Manzanilla","$300.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1239/LB1002.jpg","aromaterapia\aceites-esenciales"
"LB1003","Aceite Esencial de Tea Tree","$251.30","https://chemisette-web.s3.amazonaws.com/uploads/color/image/1240/LB1003.jpg","aromaterapia\aceites-esenciales"
