"036-0614-00",253
"036-0614-01",261
"036-0642-01",140
"036-0642-00",308
"001-9999-29",37
"037-2321-00",542
"300-0699-14",56
"300-3010-04",37
"008-0639-10",4969
"008-0639-11",4969
"008-0645-00",1196
"008-0645-01",1247
"008-0679-00",8235
"008-0679-01",2824
"207-0677-00",700
"207-0666-03",1449
"207-0604-04",2698
"207-0610-00",6572
"207-0610-01",7130
"207-0614-05",1176
"207-0665-00",7572
"207-0622-02",10033
"207-0639-01",24628
"207-0670-02",1337
"207-0645-00",3309
"207-0663-01",11729
"207-0679-02",5322
"207-0679-03",10434
"207-0604-05",3045
"207-0610-02",13204
"207-0614-04",1723
"207-0614-03",490
"207-0622-03",10475
"207-0639-00",21377
"207-0670-03",2919
"207-0666-05",2119
"207-0646-02",7314
"207-0663-02",9886
"231-0916-04",985
"231-0916-05",826
"231-3117-02",555
"231-2330-03",1939
"231-0105-03",1748
"231-0105-00",3385
"231-0105-01",3385
"231-0205-00",2686
"231-0201-00",2130
"231-0202-00",2400
"231-0202-05",2241
"231-0202-10",2892
"231-0202-03",2320
"231-0202-04",2241
"231-0208-00",2288
"231-0207-02",2431
"231-0206-03",3560
"231-0206-02",3560
"231-0209-00",2479
"231-0210-00",2288
"231-0210-01",4895
"231-0315-20",3798
"231-0315-21",3782
"231-0316-06",2575
"231-0316-02",2606
"231-0316-00",2924
"231-0316-08",2575
"231-0316-09",2575
"231-0316-10",2654
"231-0316-11",2654
"231-0207-00",3131
"231-0301-06",2733
"231-0301-07",2733
"231-0301-08",2940
"231-0301-09",2781
"231-0301-00",2956
"231-0301-01",2892
"231-0318-00",3925
"231-0318-01",3925
"231-0301-02",5101
"231-0301-03",5101
"231-0315-05",4895
"231-0315-13",4068
"231-0315-12",4068
"231-0315-10",3798
"231-0315-11",3782
"231-0315-14",2972
"231-0315-15",2988
"231-0315-06",3751
"231-0315-07",3751
"231-0315-00",3131
"231-0319-00",6834
"231-0319-01",6834
"231-0320-00",4990
"231-0320-01",4990
"231-0317-00",4227
"231-0317-01",4227
"231-0317-04",2813
"231-0317-05",2813
"231-0313-00",4323
"231-0313-01",4688
"231-0308-04",3004
"231-0308-05",3862
"231-0308-02",3719
"231-0308-03",3719
"231-0503-00",3290
"231-0505-00",14255
"231-0701-00",2892
"231-0703-00",1271
"231-0712-00",1383
"231-0714-01",1144
"231-0718-00",1446
"231-0718-01",1605
"231-0664-00",2972
"231-0601-00",1176
"231-0601-01",1001
"231-0604-00",1685
"231-0604-01",1685
"231-0605-06",795
"231-0605-03",667
"231-0605-05",922
"231-0605-00",599
"231-0676-01",1128
"231-0610-01",2956
"231-0610-02",2956
"231-0611-00",1923
"231-0611-01",1923
"231-0611-05",1398
"231-0611-06",1271
"231-0614-03",1049
"231-0614-01",1017
"231-0615-04",731
"231-0615-02",969
"231-0615-00",567
"231-0616-00",1859
"231-0616-01",1049
"231-0617-00",1287
"231-0617-01",1287
"231-0665-02",1891
"231-0665-03",1891
"231-0665-04",1685
"231-0665-05",1685
"231-0622-00",2114
"231-0622-01",2082
"231-0623-00",795
"231-0625-00",2114
"231-0625-01",2082
"231-0629-01",810
"231-0630-06",2447
"231-0630-02",561
"231-0630-04",1430
"231-0677-00",1700
"231-0677-01",1700
"231-2506-00",1430
"231-2506-01",1478
"231-0633-00",2257
"231-0633-01",2257
"231-0635-02",779
"231-0635-01",763
"231-0639-12",1001
"231-0639-10",2892
"231-0639-09",763
"231-0639-02",938
"231-0639-05",810
"231-0639-04",564
"231-0639-11",985
"231-0639-03",922
"231-0666-02",1923
"231-0666-03",2034
"231-0642-01",2352
"231-0642-05",842
"231-0642-00",1033
"231-0645-00",1128
"231-0645-01",1160
"231-0646-00",1605
"231-0646-01",1605
"231-0647-00",2352
"231-0647-02",2527
"231-0649-00",1748
"231-0649-01",1748
"231-0901-00",954
"231-0902-00",2304
"231-0902-01",2320
"231-0902-03",2495
"231-0902-04",2495
"231-0723-01",2384
"231-0723-00",2892
"231-0904-00",1557
"231-0904-01",1573
"231-0906-00",2320
"231-0906-01",2288
"231-0943-00",485
"231-0943-01",763
"231-0928-00",731
"231-0907-01",3067
"231-0908-03",1271
"231-0908-00",731
"231-0908-02",954
"231-0910-00",842
"231-3405-00",1700
"231-3405-01",1748
"231-0911-02",1891
"231-0911-03",1891
"231-0912-00",1494
"231-0912-02",1208
"231-0916-08",954
"231-0916-00",1923
"231-0916-01",938
"231-0916-07",1383
"231-0913-00",779
"231-0916-06",985
"231-0917-03",1033
"231-0918-01",1351
"231-0920-00",1414
"231-0920-01",1414
"231-0806-00",478
"231-0805-00",906
"231-0805-02",858
"231-1205-00",1224
"231-1206-00",810
"231-1207-01",890
"231-1208-00",985
"231-1242-04",2972
"231-1242-05",2972
"231-1242-00",2416
"231-1242-01",2416
"231-1209-01",1700
"231-1209-00",1700
"231-1210-00",1287
"231-1213-01",969
"231-1214-05",2511
"231-1214-01",586
"231-1214-03",2431
"231-1215-10",715
"231-1215-06",731
"231-1215-04",810
"231-1215-00",842
"231-1215-11",922
"231-1215-02",763
"231-1216-00",1033
"231-1239-00",922
"231-1248-00",969
"231-1217-02",985
"231-1217-01",1430
"231-1218-00",2082
"231-1218-01",2082
"231-1218-02",1335
"231-1219-03",2225
"231-1219-06",2288
"231-1219-00",1287
"231-1219-01",1319
"231-1220-00",2733
"231-1221-00",1271
"231-1221-01",1224
"231-1223-01",2781
"231-1223-00",605
"231-1225-00",1033
"231-1227-00",1923
"231-1228-08",3703
"231-1228-01",2765
"231-1228-06",3703
"231-1228-09",625
"231-1228-05",1240
"231-1228-03",1700
"231-1230-00",906
"231-1230-01",810
"231-1230-04",795
"231-1232-00",779
"231-1250-00",826
"231-1235-03",779
"231-1245-00",2288
"231-1237-00",1621
"231-1105-00",2940
"231-1105-01",2956
"231-1103-00",2241
"231-1301-04",2447
"231-1301-01",1796
"231-1301-07",3480
"231-1301-08",3735
"231-1301-05",1796
"231-1301-02",1526
"231-1310-00",2638
"231-1310-01",2654
"231-1302-18",3099
"231-1302-19",3099
"231-1302-00",2813
"231-1302-01",2813
"231-1302-03",2972
"231-1302-02",2972
"231-1302-14",1843
"231-1302-15",1843
"231-1302-11",2527
"231-1302-12",3163
"231-1302-04",1605
"231-1302-08",2670
"231-1302-09",2892
"231-1303-00",2527
"231-1303-01",2527
"231-1303-03",4450
"231-1303-04",4450
"231-1304-00",1716
"231-1304-01",1716
"231-1305-06",3099
"231-1305-07",3099
"231-1305-03",3909
"231-1305-02",3909
"231-1305-00",1780
"231-1305-01",1780
"231-1306-00",667
"231-1307-00",2098
"231-1307-01",2098
"231-1307-04",3655
"231-1307-05",3655
"231-3301-00",1764
"231-1611-00",858
"231-1605-01",2257
"231-1605-07",2940
"231-1605-03",810
"231-1605-08",842
"231-1607-00",2050
"231-1808-00",3004
"231-1702-00",3115
"231-1702-01",3115
"231-2002-01",3735
"231-2002-03",4005
"231-2002-06",2765
"231-2002-00",2257
"231-2003-01",4847
"231-2018-00",4211
"231-2013-00",2956
"231-2013-01",3703
"231-2101-00",2336
"231-2101-01",2304
"231-2101-04",1987
"231-2101-05",1891
"231-2201-00",2638
"231-2201-01",2638
"231-2203-00",2304
"231-2203-01",2304
"231-2203-04",2606
"231-2203-03",2606
"231-2205-02",2288
"231-2205-06",2575
"231-2205-07",2575
"231-2205-00",2241
"231-2207-00",1287
"231-2208-00",2257
"231-2208-06",2479
"231-2208-07",2495
"231-1915-00",3496
"231-1915-01",3496
"231-1901-03",2733
"231-1901-04",2733
"231-1901-01",2257
"231-1901-00",2273
"231-1902-00",1685
"231-1902-01",1685
"231-1902-04",1367
"231-1902-05",1367
"231-1903-00",3528
"231-1903-01",3242
"231-1909-00",3464
"231-1909-01",3321
"231-2301-00",1240
"231-2301-01",1240
"231-2302-08",1621
"231-2302-12",1891
"231-2302-13",1891
"231-2302-00",1605
"231-2302-01",1605
"231-2302-02",2511
"231-2302-03",2575
"231-2302-04",1843
"231-2302-05",1812
"231-2303-01",2018
"231-2303-00",1859
"231-2307-00",922
"231-2344-00",2177
"231-2344-01",2209
"231-2327-00",2527
"231-2327-01",2241
"231-2310-00",1812
"231-2310-01",1843
"231-2310-04",1987
"231-2310-05",1955
"231-2310-02",1557
"231-2310-03",1557
"231-2310-10",1891
"231-2310-11",1891
"231-2311-00",2606
"231-2311-01",2702
"231-2312-00",2225
"231-2312-01",2225
"231-2312-02",2924
"231-2312-03",2924
"231-2313-02",1700
"231-2313-03",1700
"231-2313-00",1780
"231-2313-01",1780
"231-2343-01",380
"231-2343-00",370
"231-2314-00",1049
"231-2315-04",2686
"231-2315-05",2686
"231-2315-00",2273
"231-2315-01",2257
"231-2315-08",2177
"231-2317-00",3099
"231-2317-01",2876
"231-2316-02",1144
"231-2316-03",1128
"231-2316-10",1319
"231-2316-04",1478
"231-2316-05",1478
"231-2316-09",1796
"231-2316-01",1049
"231-2316-00",1065
"231-2318-04",1764
"231-2318-00",1669
"231-2318-01",1669
"231-2319-01",2304
"231-2321-06",1065
"231-2321-09",731
"231-2321-00",683
"231-2321-01",683
"231-2321-08",715
"231-2322-00",922
